"titulo","url","fecha","autores","doi","resumen","citas","accesos","n_refs"
"Author Correction: Candidate serum metabolite biomarkers of subclinical Haemonchus contortus infection in sheep","https://www.nature.com/articles/s41598-025-34155-4","31 December 2025","Jawad, Hamza; Gellatly, Desiree; Lei, Yaogeng; Thompson, Sean; Borzouie, Shima; Osonowo, Olufemi; Gilleard, John S.; Miar, Younes; Goldansaz, Seyed Ali; Manafiazar, Ghader","10.1038/s41598-025-34155-4","",NA,1267,0
"Author Correction: Introduction of Cistanche phelypaea fatty acids as a new natural neurotrophic supplement by evaluating its effects in normal and Alzheimerâs diseased rats","https://www.nature.com/articles/s41598-025-34156-3","31 December 2025","Aboubaker, Doha H.; Elsayed, Ahmed A. A.; El-Gohary, Ahmed; El-Garf, Ibrahim A.; Ibrahim, Bassant M. M.","10.1038/s41598-025-34156-3","",NA,1073,0
"Association between digit ratio (2D:4D) and rightâleft difference in 2D:4D ratio with breast cancer risk: multicentre caseâcontrol study from India","https://www.nature.com/articles/s41598-025-33919-2","31 December 2025","Moirangthem, Romi; Patil, Aniket; Chitkara, Garvit; Kar, Siddhartha; Smith, George Davey; Dikshit, Rajesh; Mhatre, Sharayu","10.1038/s41598-025-33919-2","Recently, the second to fourth fingers/digits ratio (2D:4D) has been reported to be associated with breast cancer (BC). We aimed to assess whether this association exists in Indian population. We derived the 2D:4D of right and left-hand from length of the index and ring finger, measured using Vernier callipers. We also calculated the right minus left 2D:4D (DR−L). For 1638 BC cases and 1723 controls, univariate unconditional logistic regression model was used to estimate odds ratio (OR) with its corresponding 95% confidence interval (CI). We observed reduced risk of BC with increase in right 2D:4D in pre- menopausal women (OR: 0.71, 95% CI: 0.52–0.96), while for post-menopausal women there was non-significant positive association. For left 2D:4D, non-significant slight increased risk of BC was observed in the highest category amongst the premenopausal women (OR: 1.12, 95% CI: 0.82–1.52). For DR−L we observed inverse association in pre-menopausal women only (OR: 0.73, 95% CI: 0.58–0.92). The association between the 2D:4D ratio and BC risk was weak and inconsistent across pre-/post-menopausal groups. Larger and more precise studies with longitudinal follow-up, and reduced random measurement error are needed to clarify whether a clinically meaningful 2D:4D ratio threshold can reliably predict BC risk.",NA,4232,28
"Pluripotent epigenetic regulator OBP-801 attenuates fibrosis and maintains lower intraocular pressure in a rabbit PRESERFLO MicroShunt surgery model","https://www.nature.com/articles/s41598-025-34244-4","31 December 2025","Koga, Yusuke; Ikushima, Toru; Hiramoto, Nao; Yoshii, Kengo; Murata, Naoki; Mukai, Atsushi; Yamamoto, Yuji; Mieno, Hiroki; Urata, Yasuo; Ueno, Morio; Sotozono, Chie","10.1038/s41598-025-34244-4","The inhibition of fibrosis in filtering blebs is indispensable for lowering intraocular pressure (IOP) after PRESERFLO MicroShunt surgery (PMS). We previously reported the anti-fibrotic effect of OBP-801 (OBP) on a filtering bleb in a rabbit glaucoma filtration surgery model using a 22-gauge cannula. In this study, we investigated the effect of OBP after PMS in rabbit eyes for the development of a new practically applicable anti-fibrotic treatment. This study involved 19 Japanese white rabbits that underwent PMS in the right eye, with those eyes divided into 3 groups: (1) intraoperative subconjunctival injection of 0.02% mitomycin-C (MMC) (n = 6), (2) postoperative instillation of 100&nbsp;nM OBP eye drops (n = 7), or (3) a balanced salt solution (BSS) control (n = 6). Bleb morphology and IOP were monitored for 12&nbsp;weeks postoperative, with the bleb tissues then undergoing evaluation of fibrosis and Western blot analysis. A lower postoperative IOP was maintained in the OBP-group eyes, and at 12&nbsp;weeks postoperative, the IOP was significantly lower in that group than in the BSS and MMC groups (p &lt; 0.01). OBP-treated eyes showed no adverse effects and reduced levels of alpha-smooth muscle actin and collagen deposition, thus suggesting that OBP is a promising candidate for improving surgical outcomes post PMS.",NA,2515,43
"Clinical outcomes of intra-articular corticosteroid injection vs. multimodal physiotherapy in patients with frozen shoulder in short term: a randomized clinical trial","https://www.nature.com/articles/s41598-025-33598-z","31 December 2025","Zare, Mohammad Ali; Ebrahimzadeh, Mohammad Hosein; Moradi, Ali; Zeinalzadeh, Afsaneh; Nazary-Moghadam, Salman","10.1038/s41598-025-33598-z","This study aimed to compare the short-term effects of multimodal physiotherapy (MPT) with intra-articular corticosteroid injection (IAI) on pain, disability, effectiveness of treatment, and passive range of motion in patients with frozen shoulder. Randomized Controlled Trial. University Hospital. Patients diagnosed with frozen shoulder with at least 50% passive range of motion (PROM) limitation. Forty-eight patients were allocated into two groups: Group A: MPT and Group B: IAI. After allocation, all patients received a prescription of a comprehensive home exercise pamphlet (HEP) and were instructed to perform them for six weeks. Pain ((visual analogue scale (VAS), shoulder pain and disability index (SPADI)), disability (SPADI), and PROM for abduction, external rotation, and scaption were recorded at the baseline and 6 weeks after randomization. The effectiveness of treatment (global rating scale (GRC)) was recorded 6 weeks after randomization. Pain (VAS) and (SPADI), disability (SPADI), and passive range of motion (PROM) significantly improved after both treatments (p &lt; 001). The effect size of MPT was larger than IAI for all outcomes. Notably, significant positive differences were observed in internal rotation PROM (p = 0.036, effect size (ES) = 0.627) and the disability section of the GRC scale (p = 0.005), indicating that MPT was more effective. However, in VAS, SPADI (total), GRC (pain), external rotation, abduction, and scaption PROM, the difference between the treatment groups was not statistically significant. MPT and IAI are both effective short-term interventions. The stronger effect and specific superior outcomes of MPT are promising, but the limited sample size precludes definitive conclusions regarding superiority. Larger trials are warranted to confirm these findings.",NA,5260,29
"SARCDNet-an enhanced deep learning network for change detection from bi-temporal SAR images","https://www.nature.com/articles/s41598-025-31488-y","31 December 2025","Kevala, Vibha Damodara; Mukundan, Vishal; Nedungatt, Sravya; Suresh, Shilpa; Lal, Shyam","10.1038/s41598-025-31488-y","Change detection analysis is a crucial process in microwave remote sensing enabling the identification of changes on the Earth’s surface due to natural and human activities. Bi-temporal Synthetic Aperture Radar (SAR) imaging is particularly effective for flood detection, environmental monitoring, disaster response and urban planning due to its all-weather, day-and-night capabilities. Conventional optical imaging methods face challenges such as cloud cover and daylight dependency making SAR a preferred alternative. The availability of SAR data from satellite resources such as RADARSAT, Sentinel-1, Envisat has helped in advancing change detection analysis. This paper introduces SARCDNet (SAR Change Detection Network) model which is an enhanced deep learning network for change detection from bi-temporal SAR images. Adaptive fusion block is designed, which incorporates the adaptive global filtering operation that extracts features in frequency domain and channel attention mechanism to enhance the relevance of extracted features. SARCDNet is computationally efficient design that mitigates the effects of speckle noise and improves the prediction accuracy. SARCDNet takes advantage of spatial and frequency domain methods and has demonstrated improved performance across public datasets namely Yellow river and Farmland which has higher incidence of speckle noise. The proposed SARCDNet model has demonstrated considerable performance improvement of 4.26% F1 score, 0.841% PCC, 4.92% $$\kappa$$ and 4.67% MCC in flood change detection in Chao Lake dataset.",NA,4149,24
"Performance comparison of CTAB-modified NiO, ZnO, and SnO2 sensors for CO and CH4 detection in environmental and health applications","https://www.nature.com/articles/s41598-025-34169-y","31 December 2025","Chellamuthu, Poundoss; Savarimuthu, Kirubaveni; Krishnamoorthy, R.; Yuvaraj, T.; Bajaj, Mohit; Rubanenko, Oleksandr","10.1038/s41598-025-34169-y","In industrial and environmental monitoring, high-sensitivity and response-time sensors are a major challenge. In this research, ZnO, NiO, and SnO2 nanostructures were prepared via a Surfactant (CTAB)-assisted hydrothermal process. Surfactant improves surface activity and porosity for controlled development. A stable p–n heterojunction was formed by including PEDOT: PSS in n-type oxides. The fabricated sensors were put through an intensive testing procedure for the detection of CO and CH4 at ambient temperature (30&nbsp;°C) and at different concentrations (2–10 ppm). The maximum sensitivity of the PEDOT: PSS/SnO2 heterojunction was 92.3% for CO and 90.8% for CH4. Its response and recovery times were 10/5 s and 15/8 s, respectively. The developed sensors exhibited a linear response pattern and excellent repeatability across a 24-h evaluation, with five testing cycles of 250&nbsp;s each. Characterization of structural and surface properties (XRD, EDS, BET, UV, JV, and EIS) confirmed that high crystallinity, nanoscale structure, and enhanced surface area were responsible for enhanced sensing performance. Based on the results, PEDOT: PSS heterojunction assembly combined with CTAB-assisted hydrothermal synthesis may be employed to synthesize high-performance, low-cost gas sensors for real-time detection of harmful and inflammable gases.",2,3436,55
"Bipolar complex q-rung orthopair fuzzy aggregation operators for enhanced decision-making in uncertain environments","https://www.nature.com/articles/s41598-025-32730-3","31 December 2025","Alshammari, Ibtesam","10.1038/s41598-025-32730-3","Effective decision-making in uncertain and complex environments requires managing multidimensional, conflicting, and partially contradictory information. Existing fuzzy extensions—such as bipolar, q-rung orthopair, and complex fuzzy sets—address only parts of this uncertainty: bipolar sets handle positive and negative evaluations, q-rung orthopair sets allow flexible weighting of membership and nonmembership, and complex fuzzy sets capture phase-dependent or oscillatory information. However, none of these frameworks alone can simultaneously manage all these aspects. To overcome these challenges, this study introduces a bipolar complex q-rung orthopair fuzzy set (BCq-ROFS), which integrates bipolarity, complex membership structures, and q-rung orthopair fuzzy logic into a unified framework. Two aggregation mechanisms—BCq-ROF weighted averaging (BCq-ROFWA) and BCq-ROF weighted geometric (BCq-ROFWG) operators—are developed to effectively combine bipolar and complex fuzzy data across multiple attributes while maintaining a manageable computational cost. The framework applies to a multi-attribute decision-making problem in sustainable livestock farming, a domain characterized by conflicting objectives, resource limitations, and environmental–economic trade-offs. Results reveal that BCq-ROFS-based operators provide more stable, interpretable, and discriminative rankings than traditional fuzzy approaches. Comparative and sensitivity analyses confirm the robustness and scalability of the method, demonstrating improvements in decision accuracy and practical relevance.",NA,2190,76
"New design of plate implant for bone healing assessment using frequency measurement: a biomechanical cadaveric study","https://www.nature.com/articles/s41598-025-32122-7","31 December 2025","Amarase, Chavarin; Tangpornprasert, Pairat; Virulsri, Chanyaphan; Chancharoen, Pisitpong; Tantavisut, Saran","10.1038/s41598-025-32122-7","This study is a biomechanical cadaveric investigation to assess bone healing by measuring frequency changes using a new plate design called bone union detection with wire’s natural frequency (BUDWF). Based on natural frequency and strain theory, in bone fracture conditions, the plate experiences higher strain under axial load and generates higher frequency, compared to the bone union condition where strain is lower and frequency is lower. If frequency changes can be detected, they can be used to determine the bone healing status. Eight human cadaveric tibia bones were used in the experiment. Bone union and fracture with a 10&nbsp;mm gap, fixed by the BUDWF plate, were tested under various axial loads (0&nbsp;N, 100&nbsp;N, 200&nbsp;N, 300&nbsp;N, and 400&nbsp;N) using the “Instron Electropuls E10000”. We found that the frequency did not significantly change with any axial loads in bone healing, which is different from the bone fracture where the frequency was higher under high axial load. When comparing the two bone conditions, there were significant differences in frequency change under axial loads of 200, 300, and 400&nbsp;N (p &lt; 0.001). From the result, The BUDWF plate with frequency measurement can assess bone healing by comparing the frequency changes from the bone fracture and the bone union condition under an axial load of 400&nbsp;N. We hope this plate will be the prototype for developing the device to help bone healing detection in the future.",NA,1835,25
"Association of post-liposuction edema on body composition and weight reduction efficiency","https://www.nature.com/articles/s41598-025-29903-5","31 December 2025","Park, Seoyoung; Hwang, Jiyoung; Woo, Selin; Kim, Jaewon; Kim, Sunyoung; Woo, Ho Geol; Kim, Jeongeun; Chae, Kyuhee; Yon, Dong Keon; Sang, Hyunji; Rhee, Sang Youl","10.1038/s41598-025-29903-5","Edema following liposuction can obscure surgical outcomes and increase the risk of complications, emphasizing the need for quantitative evaluation. This study aimed to evaluate the association between postoperative edema severity and changes in weight and body composition, as well as to assess fat reduction efficiency across different edema severity groups in patients undergoing local anesthetic minimally invasive liposuction (LAMS). This study analyzed multicenter cohort data collected in 2024 from 20 branches of the 365MC Hospital in South Korea, including 3832 patients who underwent LAMS. Postoperative edema severity was assessed using a standardized self-report questionnaire and patients were classified into three groups: no edema, mild, and moderate to severe edema. The primary outcome was postoperative changes in body weight and total body water (TBW), using bioelectrical impedance analysis. The Kruskal-Wallis and Dunn’s tests were used to compare changes across edema groups, while multivariable linear regression evaluated associations between aspirated fat volume and postoperative outcomes. Weight reduction efficiency (per 50&nbsp;cc of aspirated fat) was also assessed. Subgroup analyses were conducted by seven anatomical regions: abdomen, arms, back, buttocks, calves, flanks, and thighs. Of the 3832 patients (3825 females [99.82%]), the majority were classified into the mild edema group (90.34%), followed by moderate to severe (5.61%) and no edema (4.04%). Aspirated fat volume was associated with reductions in body weight across all groups, although the strength of this association declined with increasing edema severity, from an adjusted β of -0.06 (95% CI, -0.07 to -0.05) kg/cc in the no edema group to − 0.05 (-0.09 to -0.01) kg/cc in the moderate to severe group. In contrast, TBW showed the weakest and non-significant association, suggesting that postoperative fluid retention may obscure the weight-reducing effect of aspirated fat. Regional analysis indicated that the buttocks showed the highest efficiency (-11.41 [95% CI, -26.76 to 3.93] kg/50&nbsp;cc in the no edema group; -5.89 [-17.64 to 5.87] kg/50&nbsp;cc in moderate to severe), while the thighs showed the lowest (-5.74 [-9.82 to -1.68] kg/50&nbsp;cc and -2.02 [-3.85 to 0.19] kg/50&nbsp;cc, respectively). This study investigates the potential association of edema severity on postoperative body composition changes and fat reduction efficiency following LAMS. These findings highlight the clinical impact of edema on surgical outcomes and the importance of tailored postoperative management to enhance recovery and patient satisfaction.",NA,2706,39
